act	 v. 表演；举动；起作用 n. 行为，法令；一幕
cape	 n. 海角，岬；披肩，短披风
capital	 n. 首都;大写字母;资本 adj. 主要的,大写字母的
capitalism	 n. 资本主义
capsule	 n. 胶囊;太空舱
captain	 n. 首领,队长;船长;上尉 v. 做…的首领,指挥
captive	 n. 俘虏 adj. 被俘虏的,被监禁的
capture	 v&n. 捕获,俘虏;夺得,攻占
escape	 n. 逃跑,逃脱 v. 逃跑;避开,避免
handicap	 v. 妨碍 n. (身体或智力方面的)缺陷;不利条件
car	 n. 汽车，车辆，车；(火车)车厢
cargo	 n. 船货,货物
carpenter	 n. 木工,木匠
carpet	 n. 地毯
carriage	 n. (四轮)马车;(火车)客车厢
carrier	 n. 搬运人;载体
carrot	 n. 胡萝卜
carry	 v. 运送,搬运;传送,传播;领,带
cart	 n. (二轮货运)马车,手推车
cartoon	 n. 漫画,幽默画;动画片
carve	 v. (雕)刻
care	 n. 小心;关怀,照料 v. (about)关心,介意,计较
career	 n. (个人的)事业；专业，生涯，职业，经历
careful	 adj. 小心的,仔细的;细致的,精心的
caress	 vt&n. 爱抚，抚摸
cat	 n. 猫；猫科；
catalog	 n. （ue）目录(册) v. 编目(录)
catastrophe	 n. 大灾难；(悲剧)结局
catch	 v. 捕捉,捕获;赶上;感染;理解,听到
category	 n. 种类，部属，类目；范畴，类型
cater	 v. (for/to)满足,迎合;(for)提供饮食及服务
cathedral	 n. 大教堂
Catholic	 adj. 天主教的 n. 天主教徒
cattle	 n. 牛;牲口,家畜
accident	 n. 意外遭遇,事故；意外(因素)
accidental	 adj. 偶然的；意外的；无意中的
acid	 n. 酸,酸性物质a.酸的,酸味的；尖刻的
coincide	 v. 同时发生；巧合；一致；相符；
coincidence	 n. 巧合；同时发生，共同存在；符合，一致
decide	 v. 决定,下决心;解决,裁决
incidence	 n. 影响程度，影响范围；发生率
incident	 n. 事件,事变
suicide	 n. 自杀；给自己带来恶劣后果的行为
decision	 n. 决定,决心;决议;决策
decisive	 adj. 决定性的
incidentally	 adv. 附带地,顺便提及
concise	 adj. 简明的,简洁的
cut	 n&v. 切，割，削;削减，删节 n. 切口，伤口
execute	 v. 实行;实施;执行;完成;履行;处死
executive	 n. 总经理,董事,行政负责人 adj. 执行的,实施的
accept	 v. 接受，领受；认可，同意 v. 同意，认可
acceptance	 n. 接受，接收，验收，接纳；承认，认可
concept	 n. 概念，观念，设想
except	 prep. 除…之外 v. 除外;反对
exception	 n. 例外,除外;反对;异议
exceptional	 adj. 例外的,异常的
reception	 n. 接待,招待会;接收,接受,接收效果
susceptible	 adj. 易受影响的;易受感动的;易受感染的
conceive	 v. (of)设想,构思,想象;以为;怀胎,怀有
deceit	 n. 欺骗,欺骗行为
deceive	 v. 欺骗,蒙蔽
perceive	 v. 察觉,感知;理解,领悟
receipt	 n. 收据,收条;收到,接到
receive	 v. 收到,接到;遭受,受到;接待,接见
anticipate	 v. 预料；期望；预先考虑；抢先；提前使用
discipline	 n. 纪律,学科
municipal	 adj. 市(立,政)的;地方性的,地方自治的
principal	 adj. 最重要的,主要的n.负责人,校长;资本,本金
principle	 n. 原理,原则;主义,信念
recipient	 adj. 接受的,感受性强的 n. 接受者,感受者,容器
reciprocal	 adj. 相互的,往复的,互利的
recipe	 n. 烹饪法,食谱;诀窍,方法
cup	 n. 杯子；奖杯，优胜杯；(一)杯，一杯的容量
cupboard	 n. 碗柜,小橱
occupation	 n. 占领,占据;占用;职业,工作
occupy	 v. 占,占用;占据,占领;使忙碌,使从事
ascertain	 v. 确定，查明，弄清
certain	 adj. 某,某一,某些;(of)一定的,确信的,可靠的
certainly	 adv. 一定,必定,无疑;当然,行
certainty	 n. 必然,肯定;必然的事
certificate	 n. 证(明)书,执照
certify	 v. 证明，证实；发证书(或执照)给
concert	 n. 音乐会,演奏会;一齐,一致
access	 n. 进入；接入；到达；享用权；入口 v. 存取
accessory	 n. 附件,附属品;(全套衣服增加美感的)服饰
concession	 n. 让步，妥协；特许(权)；
excess	 adj. 过量的,额外的 n. 过量;过剩;超额;无节制
excessive	 adj. 过多的;过分的;额外
predecessor	 n. 前辈，前任
process	 n. 过程,进程;工序,制作法;工艺 v. 加工,处理
procession	 n. 队伍,行列
success	 n. 成就，成功；成功的事物，有成就的人
successful	 adj. 圆满的；顺利的；成功的
succession	 n. 连续,系列;继任,继承
successive	 adj. 接连的,连续的
successor	 n. 接替的人或事物，继任者
concede	 v. 承认；容许；(比赛结束前)认输；退让
precede	 v. 领先(于),在(…之前);优先,先于
precedent	 n. 先例
preceding	 adj. 在前的,在先的
procedure	 n. 程序,手续,步骤
recede	 v. 退回,后退;收回,撤回;跌落,缩减,贬值
exceed	 v. 超过,胜过;越出
exceedingly	 adv. 极端地,非常
proceed	 v. 进行,继续下去;发生
proceeding	 n. 行动,进行,(pl.)会议录,学报
succeed	 v. 成功；继承，接替 v. 接替；继…之后
aggressive	 adj. 侵略的，好斗的，有进取心的，敢作敢为的
congress	 n. (代表)大会;(美国等国的)国会,议会
progress	 v&n. 进步，进展；前进
progressive	 adj. 进步的,先进的;前进的
circle	 n. 圆,圆周;集团;周期,循环 v. 环绕,旋转
circuit	 n. 环行,周线,巡回;电路,线路
circular	 adj. 圆(形)的,环形的;循环的 n. 传单,通报
circulate	 v. (使)循环,(使)流通
circumference	 n. 圆周,周围
circumstance	 n. 环境，情况；事件；境遇
circus	 n. 马戏团,杂技团;马戏场,杂技场
bicycle	 n. (bike)自行车 v. 骑自行车
cycle	 n. 自行车;周期,循环 v. 骑自行车;循环
recycle	 v&n. 再循环,重复利用
close	 v&n. 关；结束 a&ad. 近的(地)；紧密的(地)
conclude	 v. 结束,终止;断定,下结论;缔结,议定
conclusion	 n. 结论，推论；结尾；缔结，议定
exclude	 v. 拒绝,把…排除在外,排斥
exclusive	 adj. 独占的;排他的;孤高的;唯一的;高级的
include	 v. 包括,包含,计入
inclusive	 adj. (of)包括的,包含的;范围广的
preclude	 v. 排除,阻止,妨碍
closet	 n. (壁)橱a.私下的vt.把…引进密室会谈
cloth	 n. (一块)布,织物,衣料
clothe	 v. (给…)穿衣,供给…衣服
clothes	 n. 衣服(虽为复数，亦不可数)
clothing	 n. 服装,被褥
disclose	 v. 揭示,泄露
enclose	 v. 围住,圈起,封入
enclosure	 n. 围住,圈起,封入,附件
count	 v. 数,计算;算入;看作,认为 n. 计数,总数
account	 adj. 叙述，说明；账目，账户 v. 说明，解释
accountant	 n. 会计人员，会计师
counter	 n. 柜台;计数器 a&ad. 相反(的) v. 反对,反击
country	 n. 国家;农村,乡下
countryside	 n. 乡下,农村
counterpart	 n. 对应的人(或物)
county	 n. (英国)郡,(美国)县
discount	 n. 折扣；贴现(率) v. 打折扣;不重视
discourse	 n. 论文;演说;谈话;话语 v. 讲述,著述
encounter	 n&v. 遇到,遭遇
cover	 v. 覆盖,包括,涉及 n. 盖子,套子;(书的)封面
discover	 v. 发现,显示
discovery	 n. 发现;被发现的事物
recover	 v. 收回;(from)恢复,痊愈;重新获得
recovery	 n. 痊愈,复元;重获,恢复
uncover	 v. 揭开,揭露
create	 v. 创造,创作;引起,造成,建立
acre	 n. 英亩；田地；地产
concrete	 adj. 具体的,实质性的n.混凝土v.用混凝土修筑
cream	 n. 乳脂,(鲜)奶油;奶油色
creative	 adj. 有创造力的,创造性的
creature	 n. 人,动物;生物
decrease	 n. 减少,减小;减少量 v. 减少,变少,降低
discreet	 adj. (言行)谨慎的；慎重的；有判断力的
discrepancy	 n. 相差;差异;矛盾;
increase	 v&n. 增加,增长,增进
increasingly	 adv. 不断增加地,日益
massacre	 v. 残杀,集体屠杀 n. 残杀,大屠杀
recreation	 n. 娱乐,消遣
secret	 adj. 秘密的,机密的 n. 秘密
secretary	 n. 秘书,书记;部长,大臣
cry	 n. &v.叫，喊，哭；(鸟兽)叫，啼，鸣，嗥
crystal	 n. 水晶,水晶饰品;结晶 adj. 水晶的,透明的
crime	 n. 罪行,犯罪
criminal	 n. 罪犯,刑事犯 adj. 犯罪的,刑事的
cripple	 n. 跛子,残疾人 v. 使跛,使残疾
crisis	 n. (pl.crises)危机,紧要关头
crisp	 adj. 脆的,易碎的;简明扼要的；（空气）清爽的
criterion	 n. (pl.criteria或s)标准，尺度
critic	 n. 批评家,评论家
critical	 adj. 批评的,评论的;危急,紧要的;临界的
criticism	 n. 评论性的文章，评论；批评，指责，非难
criticize	 v. (criticise)批评,评论
discriminate	 v. 区别,辨别;有差别地对待,歧视
cure	 v. (of)治愈,医治;矫正 n. 治愈,痊愈;良药
accuracy	 n. 准确（性）；精确；准确度
accurate	 adj. 正确无误的；准确的，精确的
curb	 n. 路边，场外证券市场，vt.制止，抑制
curiosity	 n. 好奇心;古董,古玩
curious	 adj. 好奇的, 求知的, 古怪的, 爱挑剔的
curl	 v. (使)卷曲,蜷缩 n. 卷发;卷曲状;卷曲物
currency	 n. 流传,流通；通货,货币
current	 n. 电流,水流;潮流,趋势 adj. 当前的;流通的
curriculum	 n. 课程,(学校等的)全部课程
curtain	 n. 窗帘,门帘;幕(布);结束； vt遮掩
curve	 n. 曲线,弯曲(物) v. 弄弯,成曲形
excursion	 n. 短途旅行,游览;离题;[物理]偏移,漂移
incur	 v. 招致,惹起,遭受
mercury	 n. 水银,汞
obscure	 adj. 暗的,朦胧的;模糊的,晦涩的
occur	 v. 发生,出现;存在;想起,想到
occurrence	 n. 发生,出现;事件,事故,发生的事情
recur	 v. (尤指不好的事)一再发生；重现
secure	 adj. (from,against)安全的,放心的v.得到;防护
security	 n. 安全(感),防御(物),保证(人),(pl.)证券
dictation	 n. 听写,口述;命令
addict	 v. 使沉溺；使上瘾 n. 沉溺于不良嗜好的人
addition	 n. 加，加法；附加部分，增加(物)
contradict	 v. 反驳;同…矛盾,同…抵触
contradiction	 n. 反驳，否认；矛盾，不一致
dictionary	 n. 词典,字典
predict	 v. 预言,预测,预告
dedicate	 v. 奉献;献身于
indicate	 v. 指出,指示;表明,暗示
indication	 n. 指出,指示;表明,暗示
indicative	 adj. (of)指示的,暗示的
verdict	 n. (陪审团的)裁决,判决；判断；定论
doctor	 n. 医生;博士 v. 授以博士学位;诊断;修改
doctorate	 n. 博士学位;博士头衔
document	 n. 公文,文献
documentary	 adj. 文献的 n. 记录片
conduct	 n. 行为,品行 v. 引导;管理;指挥(乐队);传导
conductor	 n. 管理者；售票员；领队，指挥；导体
deduce	 v. (from)演绎,推断,推论
deduct	 v. 扣除;演绎(推理)
educate	 v. 教育,培养,训练
education	 n. 教育,培养,训练
induce	 v. 引诱,劝使;引起,导致;感应
introduce	 v. 介绍；引进，传入；提出(议案等)
introduction	 n. (to)介绍;传入,引进;导言,导论,绪论
produce	 v. 生产,制造,显示,演出,导致 n. 产品
product	 n. 产品,产物;乘积
production	 n. 生产,产品,作品,(研究)成果,总产量
productive	 adj. 生产(性)的,能产的,多产的
productivity	 n. 生产率
reduce	 v. 减少,缩小;简化,还原
reduction	 n. 减小,减少,缩小
reproduce	 v. 生殖;翻版;繁殖;复制,仿造
semiconductor	 n. 半导体
dome	 n. 圆屋顶
domain	 n. (活动,思想等)领域,范围;领地
domestic	 adj. 家里的;本国的;驯养的
dominant	 adj. 支配的,统治的,占优势的
dominate	 v. 支配,统治,控制;占优势
predominant	 adj. (over)占优势的;主要的,突出的
doom	 n. 厄运,劫数 v. 注定,命定
dorm	 n. (itory)［美］［口］宿舍
democracy	 n. 民主,民主制,民主国家
democratic	 adj. 民主的
equal	 adj. 相等的;胜任的n.相等的事务;对手v.等于
adequate	 adj. 充足的，足够的；适当的，胜任的
equality	 n. 同等;平等;相等;等式;等同性
equation	 n. (数学)等式,方程式;(with)相等;均衡
equator	 n. 赤道
equip	 v. (with)装备,配备;训练
equipment	 n. 设备,器材,装置;才能
quarrel	 v. 争吵,争论 n. 争吵,争吵的原因
fact	 n. 事实,实际
factor	 n. 因素,要素
factory	 n. 工厂
satisfaction	 n. 满足,满意;乐事,愉快
satisfactory	 adj. 令人满意的,圆满的,良好的,符合要求的
affect	 v. 影响；(疾病)侵袭；感动 n. 情感，感情
affection	 n. 爱，喜爱；爱慕之情；感情；疾病，不适
defect	 n. 过失;缺点;不足
perfect	 adj. 完善的;完全的;(语法)完成的 v. 使完美
perfection	 n. 尽善尽美,完美
effect	 n. 结果;效果;影响;印象 v. 招致;实现;达到
effective	 adj. 有效的,生效的;被实施的;给人深刻印象
efficiency	 n. 效率;功效
efficient	 adj. 有效的,效率高的;有能力的,能胜任的
infect	 v. 传染，感染；影响(思想等)
infectious	 adj. 传染的,传染性的,有感染力的
beneficial	 adj. (to)有利的,有益的
benefit	 n. 利益,好处,恩惠 v. 有益于;(from,by)受益
classification	 n. 分类,分级
classify	 v. 分类,分等(级)
deficiency	 n. 缺乏,不足;缺点,缺陷
deficit	 n. 赤字,逆差;亏损,亏空;不足,缺乏
difficult	 adj. 困难的,艰难的
difficulty	 n. 困难,困境,难题
fiction	 n. 虚构,编造;小说
identification	 n. 识别,鉴别;证件;认同
identify	 v. 识别,鉴别;(with)把…和…看成一样
magnificent	 adj. 华丽的,高尚的,宏伟的
magnify	 v. 放大,扩大,夸大,夸张
office	 n. 办公室,办事处;职务,公职;部,局,处
officer	 n. 官员,办事员;工作人员;军官
official	 n. 官员,行政官员 adj. 官方的,官方的,正式的
proficiency	 n. (in)熟练,精通
significance	 n. 意义,含义;重要性,重要的
significant	 adj. 有意义的;重大的,重要的
suffice	 v. 充足，足够；vt.(食物等)使(某人)满足
sufficient	 adj. (for)足够的,充分的(比enough拘谨、正式)
superficial	 adj. 表面的;肤浅的,浅薄的
profit	 n. 利润,收益 v. (by,from)得利,获益;有利于
profitable	 adj. 有利可图的,有益的
fin	 n. 鱼鳍；鳍状物；尾翅；散热片
confine	 v. 限制；使不外出，禁闭n.[pl.]界限，范围
define	 v. 给…下定义;阐述;阐释;限定,规定
definite	 adj. 明确的;一定的;意志坚强的,立场坚定的
definition	 n. 定义,解释;(轮廓影像等的)清晰度;阐明;
final	 adj. 最终的,决定性的 n. 结局;决赛;期末考试
finally	 adv. 最后,最终;决定性地
finance	 n. 财政,金融 v. 为…提供资金
financial	 adj. 财政的,金融的
fine	 adj. 晴朗的,美好的,细致的 v&n. 罚金,罚款
finger	 n. 手指;指状物;指针
finish	 n. 完成;结束;磨光 v. 完成;结束;用完;毁掉
finite	 adj. 有限的；[数]有穷的,限定的
infinite	 adj. 无限的,无穷的 n. 无限
refine	 v. 精炼,精制,提纯;使文雅,使高尚
fraction	 n. 碎片,小部分,一点儿;分数
fracture	 n. 裂缝(痕);骨折 v. (使)断裂,(使)折断
fragile	 adj. 易碎的，脆的，易损坏的；虚弱的，脆弱的
fragment	 n. 碎片,小部分,片断
fragrant	 adj. 香的;芬芳的
fierce	 adj. 凶猛的,残忍的;狂热的,强烈的
form	 n. 形状,形式;表格 v. 组成,构成;形成
conform	 v. (to)遵守，适应；相似，一致，符合
formal	 adj. 正式的;形式的
format	 n. (出版物的)开本,版式,格式 v. 设计;安排
formation	 n. 形成;构成;组织;构造;编制;塑造
former	 adj. 以前的,在前的 pron. 前者
formidable	 adj. 强大的;令人敬畏的;可怕的;艰难的
formula	 n. (pl.e)公式;规则;分子式;药方
formulate	 v. 用公式表示;规划;设计;系统地阐述
inform	 v. (of,about)通知,告诉,报告;告发,告密
information	 n. 通知,报告;情报,资料,消息;信息
perform	 v. 履行,执行;表演,演出;完成(事业)
performance	 n. 履行,执行;表演,演出;性能,特性;成绩
platform	 n. 平台,台;站台,月台;政纲,党纲
reform	 v&n. 改革,改造,改良
transform	 v. 改变,变换;变压;转化;改造,改造
uniform	 n. 制服,军服 adj. 相同的,一律的
fur	 n. 毛,毛皮
furious	 adj. 狂怒的,狂暴的,猛烈的
furnace	 n. 炉子,熔炉
furnish	 v. 供应,提供;装备,布置
furniture	 n. 家具
fuse	 n. 保险丝,导火线,引信 v. 熔化,熔合
confuse	 v. 使混乱,混淆
confusion	 n. 困惑，糊涂；混淆；混乱，骚乱
diffuse	 v. 扩散;传播 adj. (文章等)冗长的,漫无边际的
refusal	 n. 拒绝,回绝
refuse	 v. 拒绝,谢绝 n. 废物,垃圾
gene	 n. 基因
degenerate	 v. 衰退,堕落,蜕化 adj. 堕落的 n. 堕落者
gender	 n. (生理上的)性；(名词、代词等的)性
general	 adj. 一般的,普通的;总的,大体的 n. 将军
generalize	 v. (generalise)归纳,概括;推广,普及
generate	 v. 产生,发生;生殖
generation	 n. 产生,发生;一代(人)
generator	 n. 发电机,发生器
generous	 adj. 宽宏大量的,慷慨的
genetic	 adj. 遗传(学)的 n. [-s]遗传学
genius	 n. 天才
gentle	 adj. 和蔼的,文雅的,有礼貌的
gently	 adv. 文雅地,有礼貌地;轻轻地
genuine	 adj. 真正的,名副其实的
homogeneous	 adj. 同种类的，同性质的，有相同特征的
ingenious	 adj. 机敏的;有独创性的;精致的;精巧制成的
pregnant	 adj. 怀孕的；富有意义的
malignant	 adj. 恶性的，致命的；恶意的，恶毒的
diagnose	 v. 诊断(疾病)；判断(问题)
dignity	 n. (举止,态度等的)庄严,端庄;尊贵,高贵
indignant	 adj. 愤慨的,愤慨不平的
indignation	 n. 愤怒,愤慨
cognitive	 adj. 认知的，认识能力的
recognition	 n. 认出,辨认;承认
recognize	 v. (recognise)认出,承认,公认,赏识,表扬
grade	 n. 等级,级别;年级;分数 v. 分等,分级
centigrade	 adj. n&adj摄氏温度计(的);百分度(的)
gradual	 adj. 逐渐的,逐步的
graduate	 n. 大学毕业生,研究生v.大学毕业a.毕了业的
upgrade	 v. 提升,使升级
congratulate	 v. (on)祝贺,向…致贺词
congratulation	 n. (on)祝贺,(pl.)祝贺词
disgrace	 n. 失宠,耻辱 v. 使失宠;玷辱,使蒙羞
grace	 n. 优美,文雅;恩惠,恩泽;宽限,缓刑;感恩祷告
graceful	 adj. 优美的,文雅的,大方的
gracious	 adj. 亲切的,客气的;宽厚的,仁慈的
grand	 adj. 盛大的,豪华的;重大的,主要的
grandmother	 n. 祖母,外祖母
grant	 v. 同意,准予;授予 n. 授予物;津贴;转让证书
grateful	 adj. (to,for)感激的;感谢的
gratitude	 n. 感激,感谢
greet	 v. 致敬,敬意,迎接;扑(鼻),入(耳),触(目)
greeting	 n. 问候,致敬
great	 adj. 伟大的；重要的；大量的；很好的；美好的
her	 pron. [she的宾格]她；[she的所有格]她的
herb	 n. 药草，(调味用的)香草，草本植物
herd	 n. 群,兽群,牛群 v. 放牧,群集
here	 adv. 在(到，向)这里；这时；在这一点上
heritage	 n. 遗产,继承物;传统
hero	 n. 英雄，勇士；男主角，男主人公
heroic	 adj. 英雄的，英勇的，崇高的
heroine	 n. 女英雄;女主角
hers	 pron. [she的物主代词]她的(所有物)
herself	 pron. [反身代词]她自己；她亲自，她本人
inherent	 adj. 固有的,内在的,天生的
inherit	 v. 继承(金钱等)，经遗传而得(性格、特征)
shepherd	 n. 牧民,牧羊人
adhere	 v. (to)粘着；坚持，遵守；依附，追随
coherent	 adj. 一致的，协调的；(话语等)条理清楚的
cohesive	 adj. 粘合性的，有结合力的
hesitate	 v. 犹豫,踌躇;含糊,支吾
eject	 v. 喷射,排出;驱逐
inject	 v. 注射(药液等)；注入
object	 n. 物体;客体,对象;目标;宾语 v. (to)反对
objection	 n. (to)反对,异议,不喜欢,反对的理由
objective	 n. 目标,目的 adj. 客观的,真实的
project	 n. 方案,工程,项目v.投射,放映;设计,规划
projector	 n. 放映机,幻灯机,投影仪
reject	 v. 拒绝,抵制,丢弃,排斥,退掉 n. 落选者
subject	 n. 主题;学科 adj. 隶属的;易遭..的 v. 使隶属
subjective	 adj. 主观(上)的，个人的
collect	 v. 收集,搜集;领取,接走;收(税等);聚集,堆积
collection	 n. 收藏(品),收集(物)
collective	 n. 集体 adj. 集体的,共同的
dialect	 n. 方言
elect	 v. 选举,推选;选择,作出选择
intellectual	 n. 知识分子 adj. 智力的，理智的，有理解力的
intelligence	 n. 智力,聪明;理解力;情报,消息,报导
intelligent	 adj. 聪明的,明智的,理智的
intelligible	 adj. 可理解的，明白易懂的，清楚的
lecture	 n&v. 演讲,讲课
neglect	 v&n. 忽视;疏忽,漏做,忽略
recollect	 v. 回忆,想起,记起,忆起,记得
select	 v. 选择,挑选 adj. 精选的,选择的
selection	 n. 选择,挑选;选集,精选物
lever	 n. 杆,杠杆,手段,途径,工具
alleviate	 v. 减轻，缓和，缓解(痛苦等)
elevate	 v. 举起,提拔,振奋,提升...的职位
elevator	 n. 电梯,升降机
level	 n. 水平，水准，等级 v. 弄平，铺平 adj. 水平的
levy	 n. 征收,征税,征兵 v. 征收,征集,征用
light	 n. 光；灯 v. 点燃；照亮 adj. 轻(快)；淡；明亮
highlight	 v. 使显著,使突出;强调 n. 最精彩的部分
daylight	 n. 日光,白昼,黎明
delight	 n. 快乐,高兴 v. (使)高兴,(使)欣喜
enlighten	 v. 启发,启蒙,教导
lightning	 n. 闪电 adj. 闪电般的,快速的
illuminate	 v. 照亮，照明；用灯光装饰；说明，阐释
lure	 n. 吸引力,魅力,诱惑物 v. 引诱，吸引
illusion	 n. 幻想，错误的观念；错觉，幻觉，假象
illustrate	 v. 举例说明,阐明;图解,加插图
illustration	 n. 说明；例证，插图；举例说明
luxury	 n. 奢侈,华贵;奢侈品 adj. 奢华的,豪华的
local	 adj. 地方的,当地的;局部的
allocate	 v. 分配，分派；拨给；划归
locality	 n. 位置,地点
locate	 v. 查出,探出,查找…地点,使…坐落于,位于
location	 n. 位置,场所,定位,测位
locomotive	 n. 机车,火车头 adj. 运动的,移动的,运载的
logic	 n. 逻辑,逻辑学
analogue	 n. 类似物；相似体；模拟
analogy	 n. 类似，相似，类比，类推
dialog	 n. (ue)对话,对白
eloquent	 adj. 雄辩的,有说服力的;善辩的,口才流利的
log	 n. 原木,圆木;航海日志
logical	 adj. 逻辑的,符合逻辑的
technology	 n. 科学技术；工业技术；应用科学
biology	 n. 生物学
ecology	 n. 生态学
geology	 n. 地质(学)
ideology	 n. 意识形态，(政治或社会的)思想意识
physiological	 adj. 生理学的, 生理学上的
psychology	 n. 心理,心理学,心理状态
sociology	 n. 社会学
legacy	 n. 遗产，遗赠；先人(或过去)留下的东西
legal	 adj. 法律的,法定的;合法的,正当的
legend	 n. 传说,传奇
legislation	 n. 法律(规)；立法，法律的制定(或通过)
legitimate	 adj. 合法的；合理的，合乎逻辑的 v. 使合法
college	 n. 学院,高等专科学校,大学
elegant	 adj. 优雅的;端庄的;雅致的
diligent	 adj. 勤奋的,用功的
negligible	 adj. 可忽略不计的，微不足道的
obligation	 n. 义务,责任
oblige	 v. 强迫,迫使;责成;(使)感激,施恩于
eligible	 adj. 符合条件的;(尤指婚姻等)合适(意)的
religion	 n. 宗教,信仰
religious	 adj. 宗教的,信教的,虔诚的
law	 n. 法律,法规,法学,规律,定律
lawyer	 n. 律师
limit	 n. 界限,限度,范围 v. (to)限制,限定
limitation	 n. 限制,局限性
limited	 adj. 有限的,被限制的
preliminary	 adj. 预备的,初步的
dilemma	 n. 困境；进退两难；
low	 adj. 低，矮；低级的，下层的，卑贱的；低声的
below	 prep. 在…下面，在…以下 adv. 在下面，向下
blow	 v. 吹，吹气，打气；吹奏；爆炸；n.打,打击
fellow	 n. 人,家伙;伙伴,同事 adj. 同样的,同事的
fellowship	 n. 伙伴关系;联谊会,团体
follow	 v. 跟随,接着;领会;沿着…前进,遵循;结果是
following	 adj. 下列的，下述的，其次的，接着的
hollow	 adj. 空的,中空的;空洞的,空虚的 v. 挖空,凿空
lower	 adj. 较低的,下级的,下游的 v. 降下,放低
loyal	 adj. (to)忠诚的,忠贞的
loyalty	 n. 忠诚,忠心
allow	 v. 允许，准许；承认；给予；(for)考虑到
